"CODE","ru"
"FIF_CT_DDTP","Добавить существующий тег в этот объект"
"FIF_CT_ILBL1","Или"
"FIF_CT_ILBL2","Введите имя нов. тега и нажм. Enter: "
"FIF_CT_ITP","Нажмите Enter, чтобы добавить новый тег(и)"
"FIF_SET_CTLS","Сортировать список пользовательских тегов по алфавиту"
"FIF_TAG_DDTP","Показывать объекты только с этим тегом"
"FIF_TAG_REF","Refresh"
"FIF_TAG_REFTP","Обновить выпадающий список пользовательских тегов"
"FIF_TAG_REN","Rename"
"FIF_TAG_RENTP","Переименовать этот тег"
"FIF_TAG_COM","Merge"
"FIF_TAG_COMTP","Переместить в существующий тег"
"FIF_TAG_DEL","Delete"
"FIF_TAG_DELTP","Удалить этот тег"
"FIF_UIS_WS","Щелкните правой кнопкой мыши, чтобы просмотреть этот объект в Steam Workshop"
"FIF_TREE_SM","Маленькие деревья"
"FIF_TREE_MD","Средние деревья"
"FIF_TREE_LG","Большие деревья"
"FIF_TAG_BAT","Batch"
"FIF_TAG_BAC","Назад"
"FIF_TAG_ADD","Добавить"
"FIF_TAG_ADDTP","Добавить тег выбранным объектам"
"FIF_TAG_REM","Удалить"
"FIF_TAG_REMTP","Удалить тег у выбранных объектов"
"FIF_TAG_CLE","Очистить"
"FIF_TAG_CLETP","Очистить выбранное"
"FIF_ADD_TIT","Пакетное добавление"
"FIF_ADD_NUM","Количество выбранных объектов: "
"FIF_ADD_ADD","Добавить существ. тег выбран. объектам: "
"FIF_ADD_CHTP","Добавить этот существующий тег"
"FIF_ADD_TAG","Тег: "
"FIF_ADD_ELBL","Введите нов. тег или выберите существ-ий"
"FIF_REM_TIT","Пакетное удаление"
"FIF_REM_REM","Удалить тег из выбранных объектов: "
"FIF_REM_CHTP","Удалить этот тег"
"FIF_REM_ELBL","Выберите тег"
"FIF_SE_EFI","Показать панель доп. фильтров"
"FIF_EF_AC","Автор объекта"
"FIF_EF_BH","Высота здания"
"FIF_EF_MET","м"
"FIF_EF_FEE","футов"
"FIF_SET_ACLS","Сортировать список создателей объектов по алфавиту"
"FIF_GR_RAN","Случайный выбор"
"FIF_NET_SMR","Узкие улицы"
"FIF_NET_MDR","Средние улицы"
"FIF_NET_LGR","Широкие улицы"
"FIF_NET_HGHW","Шоссе"
"FIF_NET_PATH","Тропинки"
"FIF_NET_WALL","Стены и заборы"
"FIF_NET_WAT","Водные конструкции"
"FIF_PROP_MAR","Маркеры редактора"
"FIF_NET_TNR","Крошечные дороги"
"FIF_NET_UTI","Utility"
"FIF_NET_TRA","Поезд"
"FIF_SET_PM","Show marker type props in game mode(restart needed)"
"FIF_SET_PMTP","Маркеры невидимы и большинство не работают в игре. Используйте Move It для их удаления."
"FIF_SET_IC","Показать кол-во размещённых экземпляров объекта"
"FIF_EF_UN","Неиспользуем. объекты"
"FIF_QM_TIT","Дополнительные фильтры сортировки"
"FIF_UIS_UN","Unused"
"FIF_UIS_IN","In Use"
"FIF_SET_ICTP","Эта опция немного замедляет скорость поиска. Отключите её, когда она не нужна"
"FIF_SET_PO","Показать Procedural Objects"
"FIF_SET_ICO","Исходный вариант сортировки"
"FIF_SET_ICUS","Сначала используемые объекты"
"FIF_SET_ICUN","Сначала неиспользуемые объекты"
"FIF_TAG_BATTP","Пакетное редактирование"
"FIF_SE_SEBTP","Очистить поле поиска"
"FIF_SET_DB","Использовать системный браузер по умолчанию вместо оверлея Steam"
"FIF_SET_DBTP","Щёлкните правой кнопкой мыши значок Steam на миниатюре объекта, чтобы просмотреть объект в мастерской Steam."
"FIF_NET_ONE","Дороги с односторонним движением"
"FIF_NET_PAR","Парковка разрешена"
"FIF_NET_NOP","Парковка запрещена"
"FIF_PROP_VEH","Транспорт без категории"
"FIF_PROP_TRE","Растительность"
"FIF_SET_BACK","Использовать светлый цвет фона для основной панели"
"FIF_SET_BACKTP","Легче увидеть более тёмные объекты, но труднее увидеть более яркие"
"FIF_SET_DUN","Отключить уведомление об обновлении"
"FIF_PROP_MOT","Автотранспорт"
"FIF_PROP_RAI","Ж/д транспорт"
"FIF_PROP_AIR","Авиатранспорт"
"FIF_PROP_WAT","Водный транспорт"
"FIF_EF_SB","Доп. здания"
"FIF_ATP_TP","Щёлкните правой кнопкой мыши, чтобы зацепить и переместить эту панель"
"FIF_SET_ATP","Показать панель типа объектов"
"FIF_EF_CT","С добавленным тегом"
"FIF_EF_NCT","Без добавленного тега"
"FIF_UPN_UP","Обновление"
"FIF_PROP_TC","Соответствующие рельефу местности"
"FIF_PROP_NTC","Не соответствующие рельефу местности"
"FIF_SET_SSK","Используйте отд. слова поискового запроса для каждого типа объектов"
"FIF_SET_SSKTP","Удерживайте SHIFT при переключении типа объекта, чтобы временно использовать ключевое слово запроса"
"FIF_TAG_SA","Выбрать все"
"FIF_TAG_SATP","Выбрать все отображаемые элементы"
"FIF_EF_UNEXP","Экспорт"
"FIF_EF_UNEXPTP","Экспорт списка ID неиспользуемых объектов в HTML-файл со ссылками на Мастерскую"
"FIF_EF_UNEXPSE","Экспорт поиска"
"FIF_EF_UNEXPTPSE","Экспорт списка ID неиспользуемых объектов из последнего поиска в файл HTML со ссылками на Мастерскую"
"FIF_EF_LC","Объекты не из Мастерской"
"FIF_EF_WC","Объекты из Мастерской"
"FIF_EF_DLC","Необходимые DLC/CCP"
"FIF_LOC_TOOL","Щелкните, чтобы найти следующий экземпляр выбранного объекта. Удерживая SHIFT нажатым, щелкните, чтобы найти следующий экземпляр PO."
"FIF_REF_DIS","Обновить дисплей"
"FIF_EF_US","Используемые объекты"
"FIF_EF_USEXPTP","Экспорт списка всех используемых ID в HTML-файл со ссылками на Мастерскую"
"FIF_EF_USEXPTPSE","Экспорт списка используемых ID из последнего поиска в файл HTML со ссылками на Мастерскую"
"FIF_SE_SIZEX","Нажмите на этот x, чтобы сбросить фильтры размера здания"
"FIF_SET_UIVP","Не показывать дополнительный пользовательский интерфейс Find It 2 на стандартных панелях(требуется перезагрузка)"
"FIF_SET_UIVPTP","В том числе: пользовательские значки тегов, значки Steam и значки DLC"
"FIF_DOU_MESH","Просмотр в Mesh Info"
"FIF_DOU_MESHNO","Mesh Info не установлен или не включён"
"FIF_DOU_MESHTYPE","Mesh Info поддерживает только пользовательские недорожные объекты"
"FIF_DOU_MESHOPEN","Смотреть этот объект в моде Mesh Info"
"FIF_DOU_RICO","Просмотр в RICO Revisited"
"FIF_DOU_RICONO","Ploppable RICO Revisited не установлен или не включён"
"FIF_DOU_RICOTYPE","Мод Ploppable RICO Revisited поддерживает только здания"
"FIF_DOU_RICOOPEN","Смотреть этот объект в моде Ploppable RICO Revisited"
"FIF_DOU_FOLD","Открыть папку с файлами"
"FIF_DOU_FOLDCUS","Эта функция работает только с пользовательскими объектами"
"FIF_DOU_FOLDOPEN","Открыть родительскую папку этого объекта"
"FIF_UIS_CNWS","Пользовательский объект, не из Мастерской"
"FIF_NET_BUS","Автобусные маршруты"
"FIF_NET_TRO","Троллейбусные маршруты"
"FIF_NET_BIK","Велодорожки"
"FIF_NET_TRM","Трамвайные маршруты"
"FIF_NET_MET","Метро"
"FIF_SET_REC","Недавний метод сортировки DLs(требуется перезапуск)"
"FIF_SET_RECPC","Время создания родительской папки"
"FIF_SET_RECPM","Время изменения родительской папки"
"FIF_SET_RECFC","Время создания файла .crp"
"FIF_SET_RECFM","Время изменения файла .crp"
"FIF_SET_DIS","Отключить мгновенный текстовый поиск. Нажмите ENTER, чтобы отправить новый текстовый поиск"
"FIF_SET_DISTP","Используйте этот параметр, чтобы уменьшить задержку пользовательского интерфейса при вводе текста в поле поиска"
"FIF_SET_STAB","Показать вкладки поиска"
"FIF_STAB_NTAB","Новая вкладка"
"FIF_SET_DSK","Отключить дополнительные сочетания клавиш, когда панель Find It закрыта"
"FIF_SET_DSKTP","Для предотвращения конфликтов с TM:PE. Только основное сочетание клавиш останется работоспособным, когда панель Find It будет закрыта"
"FIF_SET_CFFL","Расположение файла конфигурации"
"FIF_DOU_WS","Страница Мастерской Steam"
"FIF_DOU_WS_STEAM","в оверлее Steam"
"FIF_DOU_WS_BROWSER","в браузере по умолчанию"
"FIF_DOU_WS_NOID","Эта функция работает только с пользовательскими активами с идентификаторами Steam Workshop"
"FIF_DOU_WS_STEAMTP","Посмотреть этот объект в Мастерской Steam в оверлее Steam"
"FIF_DOU_WS_BROWSERTP","Посмотреть этот объект в Мастерской Steam в браузере по умолчанию"
"FIF_SET_RES_PANEL","Восстановить панель Find It при закрытии"
"FIF_SET_RES_PANELTP","Сбросить все параметры в Find It при закрытии панели"
"FIF_SE_ICONTP","Экспорт результатов поиска"
"FIF_EXPORT_SEARCH","Экспортировать результаты поиска в файл HTML"
"FIF_EF_DS","Стиль района"
"FIF_SET_CHA","Разрешить создателям объектов скрывать требуемые объекты из результатов поиска"
"FIF_SET_CHATP","объекты, с creator_hidden в их описании, будут исключены из следующих результатов поиска"
"FIF_GR_RW2W","Жилое ""стена к стене"""
"FIF_GR_CW2W","Коммерческое ""стена к стене"""
"FIF_GR_OW2W","Офис ""стена к стене"""
"FIF_NET_ZPATH","Зонируемые дорожки"
"FIF_PLOP_SP","Пункты обслуживания"
